Reaction number,W/DMA,Thionite,Acid,Co,Ni,Mn,Fe,,Rxn number,
DSA-CB-W/TM-1,9,0.73,0.1,0.43,0,0,0,,1,
DSA-CB-W/TM-2,9,0.73,0.1,0.38,0.03,0,0,,2,
DSA-CB-W/TM-3,9,0.73,0.1,0.33,0.08,0,0,,3,
DSA-CB-W/TM-4,9,0.73,0.1,0.28,0.13,0,0,,4,
DSA-CB-W/TM-5,9,0.73,0.1,0.23,0.18,0,0,,5,
DSA-CB-W/TM-6,9,0.73,0.1,0.18,0.23,0,0,,6,
DSA-CB-W/TM-7,9,0.73,0.1,0.13,0.28,0,0,,7,
DSA-CB-W/TM-8,9,0.73,0.1,0.08,0.33,0,0,,8,
DSA-CB-W/TM-9,9,0.73,0.1,0.03,0.38,0,0,,9,
DSA-CB-W/TM-10,9,0.73,0.1,0,0.43,0,0,,10,
DSA-CB-W/TM-11,9,0.73,0.1,0.34,0,0.09,0,,11,
DSA-CB-W/TM-12,9,0.73,0.1,0.3,0.04,0.08,0,,12,
DSA-CB-W/TM-13,9,0.73,0.1,0.26,0.08,0.06,0,,13,
DSA-CB-W/TM-14,9,0.73,0.1,0.23,0.11,0.05,0.01,,14,Produced W200
DSA-CB-W/TM-15,9,0.73,0.1,0.19,0.15,0.04,0.03,,15,
DSA-CB-W/TM-16,9,0.73,0.1,0.15,0.19,0.03,0.04,,16,Produced W200
DSA-CB-W/TM-17,9,0.73,0.1,0.11,0.23,0.01,0.05,,17,Produced W200
DSA-CB-W/TM-18,9,0.73,0.1,0.08,0.26,0,0.06,,18,Produced W200
DSA-CB-W/TM-19,9,0.73,0.1,0.04,0.3,0,0.08,,19,Produced W200
DSA-CB-W/TM-20,9,0.73,0.1,0,0.34,0,0.09,,20,PRODUCED W200!
DSA-CB-W/TM-21,9,0.73,0.1,0.25,0.03,0.18,0.01,,21,
DSA-CB-W/TM-22,9,0.73,0.1,0.23,0.05,0.16,0.03,,22,
DSA-CB-W/TM-23,9,0.73,0.1,0.2,0.08,0.14,0.04,,23,
DSA-CB-W/TM-24,9,0.73,0.1,0.18,0.1,0.12,0.06,,24,Produced W200
DSA-CB-W/TM-25,9,0.73,0.1,0.15,0.13,0.1,0.08,,25,Produced W200
DSA-CB-W/TM-26,9,0.73,0.1,0.13,0.15,0.08,0.1,,26,Produced W200
DSA-CB-W/TM-27,9,0.73,0.1,0.1,0.18,0.06,0.12,,27,
DSA-CB-W/TM-28,9,0.73,0.1,0.08,0.2,0.04,0.14,,28,
DSA-CB-W/TM-29,9,0.73,0.1,0.05,0.23,0.03,0.16,,29,
DSA-CB-W/TM-30,9,0.73,0.1,0.03,0.25,0.01,0.18,,30,
DSA-CB-W/TM-31,9,0.73,0.1,0.16,0.05,0.26,0,,31,
DSA-CB-W/TM-32,9,0.73,0.1,0.15,0.06,0.23,0.01,,32,Produced W200
DSA-CB-W/TM-33,9,0.73,0.1,0.14,0.08,0.2,0.04,,33,
DSA-CB-W/TM-34,9,0.73,0.1,0.13,0.09,0.17,0.08,,34,Produced W200
DSA-CB-W/TM-35,9,0.73,0.1,0.11,0.1,0.14,0.11,,35,
DSA-CB-W/TM-36,9,0.73,0.1,0.1,0.11,0.11,0.14,,36,Produced W200
DSA-CB-W/TM-37,9,0.73,0.1,0.09,0.13,0.08,0.17,,37,
DSA-CB-W/TM-38,9,0.73,0.1,0.08,0.14,0.04,0.2,,38,
DSA-CB-W/TM-39,9,0.73,0.1,0.06,0.15,0.01,0.23,,39,
DSA-CB-W/TM-40,9,0.73,0.1,0.05,0.16,0,0.26,,40,
DSA-CB-W/TM-41,9,0.73,0.1,0.08,0.02,0.35,0.01,,41,Produced W200
DSA-CB-W/TM-42,9,0.73,0.1,0.07,0.03,0.31,0.05,,42,
DSA-CB-W/TM-43,9,0.73,0.1,0.06,0.03,0.28,0.09,,43,Produced W200
DSA-CB-W/TM-44,9,0.73,0.1,0.06,0.04,0.24,0.13,,44,
DSA-CB-W/TM-45,9,0.73,0.1,0.05,0.04,0.2,0.16,,45,
DSA-CB-W/TM-46,9,0.73,0.1,0.04,0.05,0.16,0.2,,46,
DSA-CB-W/TM-47,9,0.73,0.1,0.04,0.06,0.13,0.24,,47,
DSA-CB-W/TM-48,9,0.73,0.1,0.03,0.06,0.09,0.28,,48,
DSA-CB-W/TM-49,9,0.73,0.1,0.03,0.07,0.05,0.31,,49,
DSA-CB-W/TM-50,9,0.73,0.1,0.02,0.08,0.01,0.35,,50,
DSA-CB-W/TM-51,9,0.73,0.1,0,0,0.43,0.09,,51,
DSA-CB-W/TM-52,9,0.73,0.1,0,0,0.39,0.13,,52,
DSA-CB-W/TM-53,9,0.73,0.1,0,0,0.35,0.16,,53,
DSA-CB-W/TM-54,9,0.73,0.1,0,0,0.31,0.2,,54,
DSA-CB-W/TM-55,9,0.73,0.1,0,0,0.28,0.24,,55,
DSA-CB-W/TM-56,9,0.73,0.1,0,0,0.24,0.28,,56,
DSA-CB-W/TM-57,9,0.73,0.1,0,0,0.2,0.31,,57,
DSA-CB-W/TM-58,9,0.73,0.1,0,0,0.16,0.35,,58,
DSA-CB-W/TM-59,9,0.73,0.1,0,0,0.13,0.39,,59,
DSA-CB-W/TM-60,9,0.73,0.1,0,0,0.09,0.43,,60,
,,,,,,,,,,14 samples
